"totalquantityonhand","custitem_ns_sc_ext_ts_override","custitem_packship_itm_pack_height","prodqtyvarianceacct","purchaseunit","custitem_fc_mastercase","cseg_funding_source","custitem_ns_sc_ext_id_low_stock_msg","custitem_code_of_supply","costestimate","countryofmanufacture","isspecialorderitem","receiptquantitydiff","cseg_project","dropshipexpenseaccount","stockunit","custitem_fc_product_subcategory_scr","purchasepricevarianceacct","custitem_ns_sc_ext_id_hide_invt_msg","isfulfillable","dontshowprice","generateaccruals","storedisplayname","expenseamortizationrule","custitem_ns_sc_ext_ts_exclude","class","itemid","custitem_fc_legacyhtmid","lastpurchaseprice","nextagcategory","custitem_fefo_commit_grp_code","seasonaldemand","costestimatetype","weight","handlingcost","deferralaccount","custitem_itr_supplementary_unit_abbrev","custitem_packship_itm_pack_width","displayname","purchaseorderquantitydiff","vendreturnvarianceaccount","enforceminqtyinternally","custitem_ns_ib_show_badges","parent","custitem_fc_bin_staticfield","custitem_ef_badges","custitem_fc_qtypershippinglabel","createddate","froogleproductfeed","maxdonationamount","custitem_ns_pr_item_attributes","custitem_un_number","custitem_fefo_expiry_date_required","isonline","custitem_as_sulphur_dioxide","custitem_ns_sc_ext_ts_90_amount","unbuildvarianceaccount","custitem_fc_product_category_scr","custitem_as_soybeans","custitem_as_eggs","tracklandedcost","excludefromsitemap","wipvarianceacct","storedisplayimage","effectivebomcontrol","pricinggroup","custitem_fc_markfordeletion","custitem4","custitem6","custitem5","custitem_ns_sc_ext_ts_30_quantity","outofstockmessage","isdropshipitem","pagetitle","location","vendorname","residual","searchkeywords","purchaseorderamount","minimumquantity","receiptquantity","custitem_ns_sc_ext_ts_90_quantity","custitem_as_fish","scrapacct","custitem_as_mustard","transferprice","storedetaileddescription","custitem_ns_sc_ext_id_hide_qty_avl","usecomponentyield","custitem_commodity_code","custitem_ns_sc_ext_id_stock_message","yahooproductfeed","upccode","islotitem","custitem_fc_zen_itemiscatchweight","sitemappriority","itemtype","custitem_fc_innerpackage","shopzillaproductfeed","fullname","custitem_fc_zen_salerateperpricingunit","custitem_ns_sc_ext_id_bo_msg","custitem_fc_brand","usemarginalrates","custitemfc_usedefaultbrandscimages","shippingcost","custitem_fc_zen_sft_comm_qty","custitem_aln_6_current_counter","amortizationtemplate","custitem_ns_sc_ext_ts_30_amount","shoppingproductfeed","custitem_ns_sc_ext_id_low_stock_thresh","externalid","custitem_ns_pr_count","maximumquantity","custitem_as_peanuts","custitem_ns_sc_ext_ts_365_amount","amortizationperiod","custitem_fc_product_subsubcategory_scr","matrixoptioncustitem5","copydescription","custitem_ns_sc_ext_id_qty_avl_msg","weightunits","custitem_as_milk","averagecost","custitem_soft_comit","isdonationitem","featureddescription","nextagproductfeed","shipindividually","outofstockbehavior","createexpenseplanson","custitem_ns_ib_badges","storedisplaythumbnail","urlcomponent","saleunit","expenseaccount","custitem_fc_stateoforigin","shopzillacategoryid","weightunit","description","custitem_packship_itm_pack_length","custitem_fc_zen_baseunitweight","custitem_ns_sc_ext_ts_365_quantity","intercoexpenseaccount","subtype","purchaseorderquantity","billqtyvarianceacct","id","custitem_fc_targetmarket","custreturnvarianceaccount","showdefaultdonationamount","custitem_nature_of_transaction_codes","custitem_packship_item_packinstruction","mpn","custitem_ns_sc_ext_ts_7_quantity","custitem_fc_productattributes","storedescription","custitem_fc_zone_static","custitem_type_of_goods","quantitypricingschedule","fxcost","custitem_atlas_approved","billexchratevarianceacct","custitem_aln_1_auto_numbered","custitem_ns_pr_rating","supplyreplenishmentmethod","manufacturer","custitem_fc_zen_pack_count","custitem_fc_storagetemp","custitem_ns_pr_attributes_rating","demandmodifier","overallquantitypricingtype","stockdescription","custitem_prompt_payment_discount_item","custitem_as_molluscs","custitem_ns_sc_ext_id_hide_low_qty_msg","custitem_fc_zen_weight_unit","printitems","gainlossaccount","custitem_fc_zen_pricingunittype","preferredlocation","custitem_fc_product_stub","custitem_ns_pr_rating_by_rate","billpricevarianceacct","wipacct","matchbilltoreceipt","custitem_aln_3_initial_sequence","shippackage","prodpricevarianceacct","custitem_as_crustacean","incomeaccount","atpmethod","custitem_fc_ingredients","custitem_itr_supplementary_unit","custitem_fc_zen_jit_producers","custitem_fefo_shelf_life_grp","assetaccount","custitem_fc_sc_imageprefix","unitstype","cost","costingmethod","lastmodifieddate","custitem_as_tree_nuts","includechildren","custitem_fc_vtlocalpurchasingincentive","subsidiary","custitem_as_celery","receiptamount","custitem_as_wheat","custitem_cust_uom","relateditemsdescription","metataghtml","shoppingdotcomcategory","isinactive","custitem_ns_sc_ext_ts_7_amount","purchasedescription","intercoincomeaccount","costingmethoddisplay","custitem_as_lupin","custitem_aln_2_number_format","nopricemessage","totalvalue","custitem_as_sesame","department"
"","F","","","2","Case, 12 x 1oz retail jars","","","","","","F","","","","2","51","","F","T","F","T","Kitchen Garden Farm / Calabrian Pepper, Dried, OG / Case, 12 x 1oz retail jars","","F","189","KGF032","38129","","","","F","AVGCOST","","","","","","Kitchen Garden Farm / Calabrian Pepper, Dried, OG / Case, 12 x 1oz retail jars","","","T","F","","201","","","1/27/2023","F","","","","F","T","F","","","11","F","F","T","F","","","","","F","","KGF032 Kitchen Garden Farm / Calabrian Pepper, Dried, OG / Case, 12 x 1oz retail jars","","","","F","","","","","","","","","","F","","F","",".","F","","","","F","","T","F","","InvtPart","1oz retail jar","F","KGF032","","","85","F","T","","","","","","F","","","","","F","","","","","F","","per Cs","F","","T","F","","F","F","DEFAULT","","","","Kitchen-Garden-Farm-Calabrian-Pepper-Dried-OG-Case-12-x-1oz-retail-jars","2","213","2","","","Kitchen Garden Farm / Calabrian Pepper, Dried, OG / Case, 12 x 1oz retail jars","","","","","","","","622","1","","F","","","","","2","","","","","42","F","","F","","REORDER_POINT","Kitchen Garden Farm","12","1","","","","","","F","F","","F","420","","1","Calabrian Pepper, Dried, OG","","","","F","","","","F","319","CUMULATIVE_ATP_WITH_LOOK_AHEAD",".","","65","","1032","","2","42","AVG","3/10/2023","F","F","F","1","F","","F","","","","","F","","Calabrian Pepper, Dried, OG / Case, 12 x 1oz retail jars","","Average","F","","","","F",""
"","F","","","1","Loaf","","","","","","F","","","","1","5","","F","T","F","T","Orchard Hill Breadworks / Hearth Loaf, Sesame French / Loaf","","F","123","OHB007","28517","","","","F","AVGCOST","","","","","","Orchard Hill Breadworks / Hearth Loaf, Sesame French / Loaf","","","T","F","","203","","","1/27/2023","F","","","","F","T","F","","","2","F","F","T","F","","","","","F","","OHB007 Orchard Hill Breadworks / Hearth Loaf, Sesame French / Loaf","","","","F","","","","","","","","","","F","","F","","","F","","","","F","","T","F","","InvtPart","loaf","F","OHB007","","","73","F","T","","","","","","F","","","","","F","","","","","F","","per EA","F","","T","F","","F","F","DEFAULT","","","","Orchard-Hill-Breadworks-Hearth-Loaf-Sesame-French-Loaf","1","213","3","","","Orchard Hill Breadworks / Hearth Loaf, Sesame French / Loaf","","","","","","","","714","1","","F","","","","","","","","","","3.9","F","","F","","REORDER_POINT","Orchard Hill Breadworks","1","1","","","","","","F","F","","F","420","","1","Hearth Loaf, Sesame French","","","","F","","","","F","319","CUMULATIVE_ATP_WITH_LOOK_AHEAD","A coating of toasted sesame seeds makes this a Breadworks favorite","","84","","1032","","1","3.9","AVG","3/10/2023","F","F","F","1","F","","F","","","","","F","","Hearth Loaf, Sesame French / Loaf","","Average","F","","","","F",""
"","F","","","1","8oz piece","","","","","","F","","","","1","11","","F","T","F","T","Parish Hill Creamery / Suffolk Punch, 1/2 lb piece, cryo retail / 8oz piece","","F","246","PHC028","30421","","","","F","AVGCOST","0.5","","","","","Parish Hill Creamery / Suffolk Punch, 1/2 lb piece, cryo retail / 8oz piece","","","T","F","","203","","","1/27/2023","F","","","","F","T","F","","","3","F","F","T","F","","","","","F","","PHC028 Parish Hill Creamery / Suffolk Punch, 1/2 lb piece, cryo retail / 8oz piece","","","","F","","","","","","","","","","F","","F","","Gourd-shaped, whole milk Caciocavallo-style cheese is a classic pasta filata. Hand stretched to form the traditional shape: "cheese on horseback"refers to the way two cheeses are tied at the ends of a long rope and then hung over a rod to age, like saddlebags thrown over the back of a horse. The interior is firm and smooth when young and becomes flaky and drier with age. The flavor is buttery, tangy, and even peppery, particularly when aged over 6 months.","F","","","","F","","T","F","","InvtPart","8oz piece","F","PHC028","","","81","F","T","","","","","","F","","","","","F","","","10","","F","","per EA","F","","F","F","","F","F","DEFAULT","","","","Parish-Hill-Creamery-Suffolk-Punch-8oz-piece","1","213","6","","1","Parish Hill Creamery / Suffolk Punch, 1/2 lb piece, cryo retail / 8oz piece","","","","","","","","761","1","","F","","","","","","","","","","8","F","","F","","REORDER_POINT","Parish Hill Creamery","1","3","","","","","","F","F","","F","420","","1","Suffolk Punch, 1/2 lb piece, cryo retail","","","","F","","","","F","319","CUMULATIVE_ATP_WITH_LOOK_AHEAD","","","","","1032","","1","8","AVG","3/10/2023","F","F","F","1","F","","F","","","","","F","","Suffolk Punch / 8oz piece","","Average","F","","","","F",""
"","F","","","2","Bulk, 6#","","","","","","F","","","","2","60","","F","T","F","T","Queen's Greens / Salad Mix, Winter Gem, Certified Naturally Grown / Bulk, 6#","","F","181","QUE002","32633","","","","F","AVGCOST","6","","","","","Queen's Greens / Salad Mix, Winter Gem, Certified Naturally Grown / Bulk, 6#","","","T","F","","203","","","1/27/2023","F","","","","F","T","F","","","14","F","F","T","F","","","","","F","","QUE002 Queen's Greens / Salad Mix, Winter Gem, Certified Naturally Grown / Bulk, 6#","","","","F","","","","","","","","","","F","","F","","","F","","","","F","","T","F","","InvtPart","bulk","F","QUE002","","","86","F","T","","","","","","F","","","","","F","","","","","F","","per Cs","F","","T","F","","F","F","DEFAULT","","","","Queens-Greens-Salad-Mix-Winter-Gem-Certified-Naturally-Grown-Bulk-6","2","213","2","","1","Queen's Greens / Salad Mix, Winter Gem, Certified Naturally Grown / Bulk, 6#","","","","","","","","765","2","","F","","","","","1","","","","","43.5","F","","F","","REORDER_POINT","Queen's Greens","1","2","","","","","","F","F","","F","420","","1","Salad Mix, Winter Gem, Certified Naturally Grown","","","","F","","","","F","319","CUMULATIVE_ATP_WITH_LOOK_AHEAD","","","78","","1032","","2","43.5","AVG","3/10/2023","F","F","F","1","F","","F","","","","","F","","Salad Mix, Winter Gem, Certified Naturally Grown / Bulk, 6#","","Average","F","","","","F",""
"","F","","","2","Retail clamshells, 12 x 5oz","","","","","","F","","","","2","60","","F","T","F","T","Queen's Greens / Salad Mix, Winter Gem, Certified Naturally Grown / Retail clamshells, 12 x 5oz","","F","181","QUE004","32636","","","","F","AVGCOST","4","","","","","Queen's Greens / Salad Mix, Winter Gem, Certified Naturally Grown / Retail clamshells, 12 x 5oz","","","T","F","","201","","","1/27/2023","F","","","","F","T","F","","","14","F","F","T","F","","","","","F","","QUE004 Queen's Greens / Salad Mix, Winter Gem, Certified Naturally Grown / Retail clamshells, 12 x 5oz","","","","F","","",".","","","","","","","F","","F","","","F","","","","F","","T","F","","InvtPart","5oz retail clamshell","F","QUE004","","","86","F","T","","","","","","F","","","","","F","","","","","F","","per Cs","F","","T","F","","F","F","DEFAULT","","","","Queens-Greens-Salad-Mix-Winter-Gem-Certified-Naturally-Grown-Retail-clamshells-12-x-5oz","2","213","2","","1","Queen's Greens / Salad Mix, Winter Gem, Certified Naturally Grown / Retail clamshells, 12 x 5oz","","","","","","","","767","1","","F","","","","","1","","","","","39.5","F","","F","","REORDER_POINT","Queen's Greens","12","2","","","","","","F","F","","F","420","","1","Salad Mix, Winter Gem, Certified Naturally Grown","","","","F","","","","F","319","CUMULATIVE_ATP_WITH_LOOK_AHEAD","","","78","","1032","","2","39.5","AVG","3/10/2023","F","F","F","1","F","","F","","","","","F","","Salad Mix, Winter Gem, Certified Naturally Grown / Retail clamshells, 12 x 5oz","","Average","F","","","","F",""
"","F","","","2","Case of 10 x 1# retail packs, frozen","","","","","","F","","","","2","53","","F","T","F","T","Red's Best / Black Sea Bass Fillets / Case of 10 x 1# retail packs, frozen","","F","144","RED002","29625","","","","F","AVGCOST","10","","","","","Red's Best / Black Sea Bass Fillets / Case of 10 x 1# retail packs, frozen","","","T","F","","203","","","1/27/2023","F","","","","F","T","F","","","12","F","F","T","F","","","","","F","","RED002 Red's Best / Black Sea Bass Fillets / Case of 10 x 1# retail packs, frozen","","","","F","","","","","","","","","","F","","F","","","F","","","","F","","T","F","","InvtPart","1# retail pack, frozen","F","RED002","","","25","F","T","","","","","","F","","","","","F","","","","","F","","per Cs","F","","F","F","","F","F","DEFAULT","","","","Reds-Best-Black-Sea-Bass-Fillets-Case-of-10-x-1-retail-packs-frozen","2","213","2","","1","Red's Best / Black Sea Bass Fillets / Case of 10 x 1# retail packs, frozen","","","","","","","","769","1","","F","","","","","","","10","","","129.5","F","","F","","REORDER_POINT","Red's Best","10","4","","","","","","F","F","","F","420","","1","Black Sea Bass Fillets","","","","F","","","","F","319","CUMULATIVE_ATP_WITH_LOOK_AHEAD","","","","","1032","","2","129.5","AVG","3/10/2023","F","F","F","1","F","","F","","","","","F","","Black Sea Bass Fillets / Case of 10 x 1# retail packs, frozen","","Average","F","","","","F",""
"","F","","","2","Case of 10 x 1# retail packs, frozen","","","","","","F","","","","2","53","","F","T","F","T","Red's Best / Cod Fillets / Case of 10 x 1# retail packs, frozen","","F","144","RED004","29224","","","","F","AVGCOST","10","","","","","Red's Best / Cod Fillets / Case of 10 x 1# retail packs, frozen","","","T","F","","202","","","1/27/2023","F","","","","F","T","F","","","12","F","F","T","F","","","","","F","","RED004 Red's Best / Cod Fillets / Case of 10 x 1# retail packs, frozen","","","","F","","","","","","","","","","F","","F","","","F","","","","F","","T","F","","InvtPart","1# retail pack, frozen","F","RED004","","","25","F","T","","","","","","F","","","","","F","","","","","F","","per Cs","F","","F","F","","F","F","DEFAULT","","","","Reds-Best-Cod-Fillets-Case-of-10-x-1-retail-packs-frozen","2","213","2","","1","Red's Best / Cod Fillets / Case of 10 x 1# retail packs, frozen","","","","","","","","771","1","","F","","","","","","","10","","","129.5","F","","F","","REORDER_POINT","Red's Best","10","4","","","","","","F","F","","F","420","","1","Cod Fillets","","","","F","","","","F","319","CUMULATIVE_ATP_WITH_LOOK_AHEAD","","","","","1032","","2","129.5","AVG","3/10/2023","F","F","F","1","F","","F","","","","","F","","Cod Fillets / Case of 10 x 1# retail packs, frozen","","Average","F","","","","F",""
"","F","","","2","Case of 10 x 1# retail packs, frozen","","","","","","F","","","","2","53","","F","T","F","T","Red's Best / Flounder Fillets / Case of 10 x 1# retail packs, frozen","","F","144","RED006","37106","","","","F","AVGCOST","10","","","","","Red's Best / Flounder Fillets / Case of 10 x 1# retail packs, frozen","","","T","F","","203","","","1/27/2023","F","","","","F","T","F","","","12","F","F","T","F","","","","","F","","RED006 Red's Best / Flounder Fillets / Case of 10 x 1# retail packs, frozen","","","","F","","","","","","","","","","F","","F","","","F","","","","F","","T","F","","InvtPart","1# retail pack, frozen","F","RED006","","","25","F","T","","","","","","F","","","","","F","","","","","F","","per Cs","F","","F","F","","F","F","DEFAULT","","","","Reds-Best-Flounder-Fillets-Case-of-10-x-1-retail-packs-frozen","2","213","2","","1","Red's Best / Flounder Fillets / Case of 10 x 1# retail packs, frozen","","","","","","","","773","1","","F","","","","","","","10","","","119.5","F","","F","","REORDER_POINT","Red's Best","10","4","","","","","","F","F","","F","420","","1","Flounder Fillets","","","","F","","","","F","319","CUMULATIVE_ATP_WITH_LOOK_AHEAD","","","","","1032","","2","119.5","AVG","3/10/2023","F","F","F","1","F","","F","","","","","F","","Flounder Fillets / Case of 10 x 1# retail packs, frozen","","Average","F","","","","F",""
"","F","","","2","Case of 10 x 1# retail packs, frozen","","","","","","F","","","","2","53","","F","T","F","T","Red's Best / Haddock Fillets / Case of 10 x 1# retail packs, frozen","","F","144","RED008","29221","","","","F","AVGCOST","10","","","","","Red's Best / Haddock Fillets / Case of 10 x 1# retail packs, frozen","","","T","F","","203","","","1/27/2023","F","","","","F","T","F","","","12","F","F","T","F","","","","","F","","RED008 Red's Best / Haddock Fillets / Case of 10 x 1# retail packs, frozen","","","","F","","","","","","","","","","F","","F","","","F","","","","F","","T","F","","InvtPart","1# retail pack, frozen","F","RED008","","","25","F","T","","","","","","F","","","","","F","","","","","F","","per Cs","F","","F","F","","F","F","DEFAULT","","","","Reds-Best-Haddock-Fillets-Case-of-10-x-1-retail-packs-frozen","2","213","2","","1","Red's Best / Haddock Fillets / Case of 10 x 1# retail packs, frozen","","","","","","","","775","1","","F","","","","","","","10","","","129.5","F","","F","","REORDER_POINT","Red's Best","10","4","","","","","","F","F","","F","420","","1","Haddock Fillets","","","","F","","","","F","319","CUMULATIVE_ATP_WITH_LOOK_AHEAD","","","","","1032","","2","129.5","AVG","3/10/2023","F","F","F","1","F","","F","","","","","F","","Haddock Fillets / Case of 10 x 1# retail packs, frozen","","Average","F","","","","F",""
"","F","","","2","Case of 10 x 1# retail packs, frozen","","","","","","F","","","","2","53","","F","T","F","T","Red's Best / Halibut / Case of 10 x 1# retail packs, frozen","","F","144","RED010","35109","","","","F","AVGCOST","10","","","","","Red's Best / Halibut / Case of 10 x 1# retail packs, frozen","","","T","F","","201","","","1/27/2023","F","","","","F","T","F","","","12","F","F","T","F","","","","","F","","RED010 Red's Best / Halibut / Case of 10 x 1# retail packs, frozen","","","","F","","","","","","","","","","F","","F","","","F","","","","F","","T","F","","InvtPart","1# retail pack, frozen","F","RED010","","","25","F","T","","","","","","F","","","","","F","","","","","F","","per Cs","F","","F","F","","F","F","DEFAULT","","","","Reds-Best-Halibut-Case-of-10-x-1-retail-packs-frozen","2","213","2","","1","Red's Best / Halibut / Case of 10 x 1# retail packs, frozen","","","","","","","","777","1","","F","","","","","","","10","","","189.5","F","","F","","REORDER_POINT","Red's Best","10","4","","","","","","F","F","","F","420","","1","Halibut","","","","F","","","","F","319","CUMULATIVE_ATP_WITH_LOOK_AHEAD","","","","","1032","","2","189.5","AVG","3/10/2023","F","F","F","1","F","","F","","","","","F","","Halibut / Case of 10 x 1# retail packs, frozen","","Average","F","","","","F",""
